LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-12-24 20:17:33,1900-01-00 00:00:00,OZONE_COFFEE_HOUSE,08:AA:89:6D:36:A8,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 20:17:33,1900-01-00 00:00:00,,D6:42:AA:26:92:53,-72,,0.000000,0.000000,0.000,0.000,Client
2024-12-24 20:17:33,1900-01-00 00:00:00,,5A:8D:52:B4:55:AA,-50,,0.000000,0.000000,0.000,0.000,Client
2024-12-24 20:17:33,1900-01-00 00:00:00,,1E:89:7F:39:DE:26,-68,,0.000000,0.000000,0.000,0.000,Client
2024-12-24 20:17:33,1900-01-00 00:00:00,,5C:61:99:03:68:95,-20,,0.000000,0.000000,0.000,0.000,Client
2024-12-24 20:17:33,1900-01-00 00:00:00,,9E:87:D1:60:6E:D0,-60,,0.000000,0.000000,0.000,0.000,Client
2024-12-24 20:17:33,1900-01-00 00:00:00,OZONE_COFFEE_HOUSE,08:AA:89:6D:36:A8,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 20:17:33,1900-01-00 00:00:00,,5C:61:99:03:68:95,-22,,0.000000,0.000000,0.000,0.000,Client
2024-12-24 20:17:33,1900-01-00 00:00:00,OZONE_COFFEE_HOUSE,08:AA:89:6D:36:A8,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-24 20:17:33,1900-01-00 00:00:00,,5A:8D:52:B4:55:AA,-48,,0.000000,0.000000,0.000,0.000,Client
2024-12-24 20:17:33,1900-01-00 00:00:00,,5A:8D:52:B4:55:AA,-48,,0.000000,0.000000,0.000,0.000,Client
2024-12-24 20:17:33,1900-01-00 00:00:00,,52:DC:8C:F0:60:6A,-44,,0.000000,0.000000,0.000,0.000,Client
2024-12-24 20:17:33,1900-01-00 00:00:00,,52:DC:8C:F0:60:6A,-44,,0.000000,0.000000,0.000,0.000,Client
2024-12-24 20:17:33,1900-01-00 00:00:00,,52:DC:8C:F0:60:6A,-44,,0.000000,0.000000,0.000,0.000,Client
2024-12-24 20:17:33,1900-01-00 00:00:00,,B2:55:36:85:3B:8D,-34,,0.000000,0.000000,0.000,0.000,Client
